Id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,"AV1, AV2",CONN-TH_AV-5,2,AV-5,
2,C1,C_1206_3216Metric,1,47uF,
3,"C2, C3, C6, C7",C_1206_3216Metric,4,10uF,
4,"C4, C8",C_1206_3216Metric,2,100nF,
5,"C5, C9, C11, C14",C_1206_3216Metric,4,10nF,
6,"C10, C13",C_1206_3216Metric,2,4.7nF,
7,"C12, C15",C_1206_3216Metric,2,1uF,
8,"C17, C18, C19, C20, C21, C22",CAP-TH_L12.0-W6.0-P10.00-D0.6-A,6,C322J10458P40001,
9,"D1, D2, D3",LED_1206_3216Metric,3,LED,
10,"D4, D5",D_SOD-123,2,1N4148W,
11,J1,CONN-TH_P10.16_KF135T-10.16-2P,1,24V 25A,
12,J2,CONN-TH_P10.16_KF135T-10.16-2P,1,Primary_1,
13,J3,CONN-TH_P10.16_KF135T-10.16-2P,1,Primary_2,
14,"Q2, Q4",TO-247-3_Vertical,2,IRFP260N,
15,"Q3, Q5",SOT-89-3,2,BCX51,
16,R1,R_1206_3216Metric,1,2.2K,
17,"R2, R9, R11, R17, R20, R23",R_1206_3216Metric,6,1K,
18,"R3, R10, R25, R27",R_1206_3216Metric,4,470,
19,"R4, R6, R13, R14",R_1206_3216Metric,4,100,
20,"R5, R8, R12, R15",R_1206_3216Metric,4,10K,
21,"R7, R16",R_1206_3216Metric,2,220,
22,"R18, R21",R_1206_3216Metric,2,33K,
23,"R19, R22",R_1206_3216Metric,2,3.3K,
24,"R24, R26",R_1206_3216Metric,2,270,
25,"RV1, RV2",RES-ADJ-TH_3296W,2,5K,
26,"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,Test,
27,U1,TO-263-3_L8.6-W10.2-P2.54-LS14.4-BR,1,LM7812SX/NOPB,
28,"U2, U3",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,2,LM311,
29,"U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,NE555D,
