Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AV1,AV-5,CONN-TH_AV-5,114.77,-126.349999,180,top
AV2,AV-5,CONN-TH_AV-5,128.62,-126.37,180,top
C1,47uF,C_1206_3216Metric,72.64,-124.65,0,top
C2,10uF,C_1206_3216Metric,97.29,-112.78,0,top
C3,10uF,C_1206_3216Metric,101.335003,-114.815,90,top
C4,100nF,C_1206_3216Metric,98.405001,-119.11,180,top
C5,10nF,C_1206_3216Metric,95.722501,-127.5,0,top
C6,10uF,C_1206_3216Metric,101.130001,-135.53,-90,top
C7,10uF,C_1206_3216Metric,99.79,-140.48,90,top
C8,100nF,C_1206_3216Metric,108.676983,-133.889807,180,top
C9,10nF,C_1206_3216Metric,107.251984,-142.289806,0,top
C10,4.7nF,C_1206_3216Metric,95.49,-160.36,180,top
C11,10nF,C_1206_3216Metric,95.400001,-154.732499,-90,top
C12,1uF,C_1206_3216Metric,96.404999,-150.53,180,top
C13,4.7nF,C_1206_3216Metric,126.88,-160.62,0,top
C14,10nF,C_1206_3216Metric,128.57,-154.46,-90,top
C15,1uF,C_1206_3216Metric,127.185001,-150.3325,180,top
C17,C322J10458P40001,CAP-TH_L12.0-W6.0-P10.00-D0.6-A,76.65,-164.42,0,top
C18,C322J10458P40001,CAP-TH_L12.0-W6.0-P10.00-D0.6-A,76.63,-157.68,0,top
C19,C322J10458P40001,CAP-TH_L12.0-W6.0-P10.00-D0.6-A,76.76,-151,0,top
C20,C322J10458P40001,CAP-TH_L12.0-W6.0-P10.00-D0.6-A,107.37,-150.8,0,top
C21,C322J10458P40001,CAP-TH_L12.0-W6.0-P10.00-D0.6-A,107.360003,-157.330001,0,top
C22,C322J10458P40001,CAP-TH_L12.0-W6.0-P10.00-D0.6-A,107.440002,-163.930001,0,top
D1,LED,LED_1206_3216Metric,88.41,-117.02,90,top
D2,LED,LED_1206_3216Metric,96.470001,-145.97,180,top
D3,LED,LED_1206_3216Metric,127.170001,-146.11,180,top
D4,1N4148W,D_SOD-123,90.27,-164.39,90,top
D5,1N4148W,D_SOD-123,121.1825,-164.9375,90,top
J1,24V 25A,CONN-TH_P10.16_KF135T-10.16-2P,61.22,-119.67,-90,top
J2,Primary_1,CONN-TH_P10.16_KF135T-10.16-2P,61.03,-165.31,-90,top
J3,Primary_2,CONN-TH_P10.16_KF135T-10.16-2P,60.865001,-142.49,-90,top
Q2,IRFP260N,TO-247-3_Vertical,84.14,-171.35,180,top
Q3,BCX51,SOT-89-3,86.44,-164.36,0,top
Q4,IRFP260N,TO-247-3_Vertical,116.9725,-171.6175,180,top
Q5,BCX51,SOT-89-3,117.2925,-164.9375,0,top
R1,2.2K,R_1206_3216Metric,85.83,-113.23,0,top
R2,1K,R_1206_3216Metric,93.515002,-115.72,-90,top
R3,470,R_1206_3216Metric,97.315003,-116.300001,0,top
R4,100,R_1206_3216Metric,108.14,-127.58,-90,top
R5,10K,R_1206_3216Metric,78.430001,-130.1,0,top
R6,100,R_1206_3216Metric,93.415003,-120.610001,-90,top
R7,220,R_1206_3216Metric,100.627502,-127.51,0,top
R8,10K,R_1206_3216Metric,98.115002,-129.880001,0,top
R9,1K,R_1206_3216Metric,103.535002,-121.360001,-90,top
R10,470,R_1206_3216Metric,98.500001,-135.52,-90,top
R11,1K,R_1206_3216Metric,94.52,-135.35,0,top
R12,10K,R_1206_3216Metric,102.95,-140.4,-90,top
R13,100,R_1206_3216Metric,103.631984,-135.549807,-90,top
R14,100,R_1206_3216Metric,121.87,-127.7,-90,top
R15,10K,R_1206_3216Metric,109.741984,-144.719807,0,top
R16,220,R_1206_3216Metric,111.951985,-142.289807,0,top
R17,1K,R_1206_3216Metric,113.811984,-135.619807,-90,top
R18,33K,R_1206_3216Metric,97.86,-154.6975,-90,top
R19,3.3K,R_1206_3216Metric,95.45,-165.53,-90,top
R20,1K,R_1206_3216Metric,86.4375,-145.93,0,top
R21,33K,R_1206_3216Metric,126.06,-154.46,-90,top
R22,3.3K,R_1206_3216Metric,127,-165.76,-90,top
R23,1K,R_1206_3216Metric,117.7,-146.05,0,top
R24,270,R_1206_3216Metric,90.24,-159.15,-90,top
R25,470,R_1206_3216Metric,86.14,-160.19,180,top
R26,270,R_1206_3216Metric,121.1725,-159.655,-90,top
R27,470,R_1206_3216Metric,116.87,-160.8475,180,top
RV1,5K,RES-ADJ-TH_3296W,95.3,-171.41,90,top
RV2,5K,RES-ADJ-TH_3296W,127,-171.475,90,top
SW1,Test,SW_Push_SPST_NO_Alps_SKRK,121.039998,-137.01,-90,top
SW2,Test,SW_Push_SPST_NO_Alps_SKRK,128.77,-136.87,90,top
U1,LM7812SX/NOPB,TO-263-3_L8.6-W10.2-P2.54-LS14.4-BR,76.919999,-119.81,180,top
U2,LM311,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,98.465003,-123.19,-90,top
U3,LM311,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,108.77,-138,-90,top
U4,NE555D,SOIC-8_3.9x4.9mm_P1.27mm,88.6,-152.85,0,top
U5,NE555D,SOIC-8_3.9x4.9mm_P1.27mm,119.615,-152.475,0,top
